PERMNO,date,TICKER,PRC,ewretd
92611,20100409,V,92.52,0.005845
92611,20100412,V,93.19,0.00388
92611,20100413,V,92.79,0.001568
92611,20100414,V,94.26,0.014968
92611,20100415,V,94.45,0.002761
92611,20100416,V,93.85,-0.010972
92611,20100419,V,93.12,-0.002911
92611,20100420,V,94.05,0.011963
92611,20100421,V,93.13,0.00292
92611,20100422,V,95.14,0.00755
92611,20100423,V,96.59,0.010052
92611,20100426,V,96,0.002661
92611,20100427,V,92.95,-0.018843
92611,20100428,V,93.61,0.001557
92611,20100429,V,92.82,0.013165
92611,20100430,V,90.23,-0.015029
92611,20100503,V,89.27,0.01135
92611,20100504,V,88.37,-0.023943
92611,20100505,V,86.43,-0.0136
92611,20100506,V,82.92,-0.033685
92611,20100507,V,82.29,-0.016989
92611,20100510,V,85.99,0.042804
92611,20100511,V,84.16,0.004202
92611,20100512,V,85.68,0.019124
92611,20100513,V,85.73,-0.004875
92611,20100514,V,77.26,-0.018568
92611,20100517,V,74.71,-0.003146
92611,20100518,V,70.09,-0.012871
92611,20100519,V,72.97,-0.01329
92611,20100520,V,72.82,-0.039086
92611,20100521,V,74.2,0.011578
92611,20100524,V,74.55,-0.006556
92611,20100525,V,72.97,-0.006476
92611,20100526,V,73.4,0.004575
92611,20100527,V,73.69,0.033655
92611,20100528,V,72.46,-0.00663
92611,20100601,V,71.49,-0.020678
92611,20100602,V,71.25,0.020297
92611,20100603,V,72.84,0.005511
92611,20100604,V,72.13,-0.032259
92611,20100607,V,71.89,-0.018182
92611,20100608,V,73.35,-0.001221
92611,20100609,V,73.8,-0.000242
92611,20100610,V,77.45,0.024915
92611,20100611,V,76.08,0.009444
92611,20100614,V,73.78,0.004188
92611,20100615,V,76.93,0.019397
92611,20100616,V,77.17,-0.00197
92611,20100617,V,78.24,-0.000032
92611,20100618,V,77.04,0.002944
92611,20100621,V,80.9,-0.00631
92611,20100622,V,78.76,-0.013867
92611,20100623,V,77.76,-0.001877
92611,20100624,V,76.48,-0.012404
92611,20100625,V,76.66,0.010275
92611,20100628,V,75.22,-0.004657
92611,20100629,V,71.45,-0.031187
92611,20100630,V,70.75,-0.005541
92611,20100701,V,72.86,-0.007599
92611,20100702,V,73.18,-0.004368
92611,20100706,V,72.27,-0.006419
92611,20100707,V,74.82,0.021937
92611,20100708,V,75.08,0.010041
92611,20100709,V,77.38,0.011698
92611,20100712,V,76.51,-0.005483
92611,20100713,V,76.59,0.021561
92611,20100714,V,76.28,-0.001089
92611,20100715,V,75.28,-0.003627
